created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jan 31 04:42:17 +0000 2024;1752552859776979425;"Pak Wowo telah menganggap remeh praktek politik anti demokrasi saat orba berkuasa.   #AsalBukan02 #PrabowoGibran #Pemilu2024 #Pilpres2024 https://t.co/HGJ2Tjishg";0;0;0;0;in;1722581577933500416;1752552859776979425;walkingside_;https://twitter.com/walkingside_/status/1752552859776979425
Wed Jan 31 04:42:10 +0000 2024;1752552832593793227;"Patroli Samapta Polres PPU melaksanakan patroli dialogis untuk memberi himbauan kamtibmas dan mencegah tindak kejahatan. . . . #PolresPPU #Poldakaltim #Polripresisi #Pemilu2024 #PemiluDamai #Damaiindonesia #IknNusantara https://t.co/i6vwnNsBKz";0;0;0;0;in;1593093257810300929;1752552832593793227;samapta_ppu;https://twitter.com/samapta_ppu/status/1752552832593793227
Wed Jan 31 04:41:34 +0000 2024;1752552679086391520;"Yuk baca selengkapnya di https://t.co/w8lPPpN38C  #pemilu2024 #kelasonline #daring #usu  Reporter : Rara Maura Hasibuan";0;0;0;0;in;180785270;1752552676943155529;BOPM_Wacana;https://twitter.com/BOPM_Wacana/status/1752552679086391520
Wed Jan 31 04:41:14 +0000 2024;1752552596232196277;"Personil patroli Sat Samapta Polres PPU melakukan pengamanan obyek vital bank bertujuan guna memberi rasa aman aktivitas masyarakat disekitar atm dan mencegah tindak kejahatan. . . . #PolresPPU #Poldakaltim #Polripresisi #Pemilu2024 #PemiluDamai #Damaiindonesia #IknNusantara https://t.co/LEkhNKVQsw";0;0;0;0;in;1593093257810300929;1752552596232196277;samapta_ppu;https://twitter.com/samapta_ppu/status/1752552596232196277
Wed Jan 31 04:40:51 +0000 2024;1752552498584604940;"Sangat memprihatinkan seorang Capres menganggap enteng pelanggaran HAM di masa lalu yang kadang dibuat sebagai lelucon. Terlebih adanya aktivis yang kini bergabung Prabowo telah menjadi penjilat dan pencuci dosa sang jenderal  #AsalBukan02 #PrabowoGibran #Pemilu2024 #Pilpres2024 https://t.co/b2UHT0BIo5";0;0;0;0;in;1722581577933500416;1752552498584604940;walkingside_;https://twitter.com/walkingside_/status/1752552498584604940
Wed Jan 31 04:39:34 +0000 2024;1752552176503980294;"SohIB di sini ada yang terpilih jadi petugas pemilu?  Akses informasi seputar panduan Pemilu 2024 di ➡️ https://t.co/CQDjEcDsWp  #IndonesiaBaik #YangMudaSukaData #PetugasPemilu #PengawasPemilu #KPPS #Honor #Pemilu2024 #PemiluDamai2024 #PemiluDamaiPedia #KominfoNewsroom https://t.co/tTSEuJ4L7j";0;0;0;0;in;831050085534363648;1752550748578320847;IndonesiaBaikId;https://twitter.com/IndonesiaBaikId/status/1752552176503980294
Wed Jan 31 04:38:58 +0000 2024;1752552027883028543;"@KemenkeuRI @KPU_ID @bawaslu_RI Jika dilihat dari perbandingan pada pemilu sebelumnya, honor badan ad hoc pada tahun 2024 mengalami kenaikan dibanding tahun2 sebelumnya.  #IndonesiaBaik #YangMudaSukaData #PetugasPemilu #PengawasPemilu #KPPS #Honor #Pemilu2024 #PemiluDamai2024 #PemiluDamaiPedia #KominfoNewsroom https://t.co/EdcKPWOQic";0;1;0;0;in;831050085534363648;1752550748578320847;IndonesiaBaikId;https://twitter.com/IndonesiaBaikId/status/1752552027883028543
Wed Jan 31 04:37:57 +0000 2024;1752551772114366658;"P14 Hari Menuju Pemilu 2024 Stop Hoax Sedini Mungkin !  #pemiluserentak2024 #pemilu2024 #divhumaspolri #poldabali #polresbadung https://t.co/4cr5MJaX11";0;0;0;0;in;1260766485296758786;1752551772114366658;polres_badung__;https://twitter.com/polres_badung__/status/1752551772114366658
Wed Jan 31 04:36:44 +0000 2024;1752551466013999371;"Polri Siap Jaga Netralitas Kenyamanan Masyarakat Adalah Prioritas Kami  #pemiluserentak2024 #pemilu2024 #divhumaspolri #poldabali #polresbadung https://t.co/zjtNpC8gnT";0;0;0;0;in;1260766485296758786;1752551466013999371;polres_badung__;https://twitter.com/polres_badung__/status/1752551466013999371
Wed Jan 31 04:36:14 +0000 2024;1752551336430993640;"Patroli Hunting dan Strong Point  Personel Polres Tulang Bawang dan jajaran melaksanakan patroli hunting dan pengaturan pada titik-titik rawan (strong point) di kabupaten Tulang Bawang  #kapolrestulangbawang #akbpjames #tulangbawang #pemilu2024 #strongpoint #patrolihunting https://t.co/5GdqTW2J19";0;0;0;0;in;1155676692133761024;1752551336430993640;polrestubalpg;https://twitter.com/polrestubalpg/status/1752551336430993640
